Author	Link	identifier	givenName	familyName	alternateNames	birthDate	birthPlace	birthCountry	deathDate	deathPlace	deathCountry	gender	occupation	period	language	category	organisation	occupationHisclass	Hisclass	lowestHisclass
F.J.H. Lousberg	https://www.dbnl.org/auteurs/auteur.php?id=lous001	lous001	Franciscus Josephus Hubertus (Frans)	Lousberg	F.J.H. Lousberg	1891-xx-xx	Maastricht	Nederland	1965-xx-xx	Maastricht	Nederland	male	koopman/zakenman/indust.	Twintigste Eeuw	nl	limburg		koopman/industrieel/zakenman	4.0/1.0/4.0	1.0
Henri Borel	https://www.dbnl.org/auteurs/auteur.php?id=bore002	bore002	Henri	Borel	Henri Borel/Henri Jean François Borel	1869-11-23	Dordrecht	Nederland	1933-08-31	Den Haag	Nederland	male	redacteur/journalist/vertaler	19e/20e Eeuw	nl			redacteur/vertaler/journalist	2.0/4.0/2.0	2.0
D.A.M. Binnendijk	https://www.dbnl.org/auteurs/auteur.php?id=binn004	binn004	Dirk Adrianus Michel	Binnendijk	D.A.M. Binnendijk/D.A.M.B./Dick Binnendijk/Dirk Nolting	1902-10-12	Leiden	Nederland	1984-06-01	Amsterdam	Nederland	male	ambtenaar/leraar/archeoloog/hoogleraar/docent/historicus	Twintigste Eeuw	nl			hoogleraar/leraar/docent/oudheidkundige/antropoloog/ambtenaar	2.0/2.0/2.0/2.0/2.0/5.0	2.0
A. Viruly	https://www.dbnl.org/auteurs/auteur.php?id=viru001	viru001	Adriaan	Viruly	A. Viruly	1905-01-05	Breda	Nederland	1986-xx-xx			male	officier/militair	Twintigste Eeuw	nl	secundair/jeugdliteratuur		militair/officier	9.0/1.0	1.0
Jacques Schreurs	https://www.dbnl.org/auteurs/auteur.php?id=schr014	schr014	Jacobus Hubertus	Schreurs	Jacques Schreurs	1893-02-09	Sittard	Nederland	1966-01-31	Weert	Nederland	male	rk-geestelijke/kloosterling	Twintigste Eeuw	nl	nonfictie/limburg		rooms-katholiek geestelijke/kloosterling	2.0/4.0	2.0
Gerrit Achterberg	https://www.dbnl.org/auteurs/auteur.php?id=acht003	acht003	Gerrit	Achterberg	Gerrit Achterberg	1905-05-20	Langbroek	Nederland	1962-01-17	Leusden	Nederland	male		Twintigste Eeuw	nl					
J.J. van Geuns	https://www.dbnl.org/auteurs/auteur.php?id=geun001	geun001	Jan Jacob	van Geuns	J.J. van Geuns	1893-02-25	Zierikzee	Nederland	1959-03-06	Amsterdam	Nederland	male	advocaat/jurist	Twintigste Eeuw	nl			advocaat/jurist	2.0/2.0	2.0
Halbo C. Kool	https://www.dbnl.org/auteurs/auteur.php?id=kool003	kool003	Halbo C.	Kool	Halbo C. Kool	1907-01-25	Groningen	Nederland	1968-05-30	Kortenhoef	Nederland	male	vertaler	Twintigste Eeuw	nl			vertaler	4.0	4.0
Emile Erens	https://www.dbnl.org/auteurs/auteur.php?id=eren001	eren001	Emile	Erens	Emile Erens	1865-04-27	Schaesberg	Nederland	1951-04-16	Heemstede	Nederland	male	agrariër	19e/20e Eeuw	nl	secundair/limburg		landbouwer	8.0	8.0
Maurits Mok	https://www.dbnl.org/auteurs/auteur.php?id=mok_002	mok_002	Maurits	Mok	Maurits Mok	1907-11-07	Haarlem	Nederland	1989-02-07	Bergen	Nederland	male	vertaler	Twintigste Eeuw	nl	jeugdliteratuur		vertaler	4.0	4.0
Gabriël Smit	https://www.dbnl.org/auteurs/auteur.php?id=smit006	smit006	Gabriel Wijnand	Smit	Gabriël Smit	1910-02-25	Utrecht	Nederland	1981-05-23	Laren	Nederland	male		Twintigste Eeuw	nl	secundair/jeugdliteratuur				
Joris Ivens	https://www.dbnl.org/auteurs/auteur.php?id=iven003	iven003	Georg Henri Anton (Joris)	Ivens	Joris Ivens	1898-11-18	Nijmegen	Nederland	1989-06-28	Parijs	Frankrijk	male		Twintigste Eeuw	nl	nonfictie				
Luc Tournier	https://www.dbnl.org/auteurs/auteur.php?id=tour003	tour003	Luc	Tournier	Chris Engels/Luc Tournier	1907-11-19	Rotterdam	Nederland	1980-12-20	Willemstad	Caribisch deel van het Nederlandse Koninkrijk	male	apotheker/medicus	Twintigste Eeuw	nl			medicus/apotheker	2.0/2.0	2.0
Wilhelmus Nicolaï	https://www.dbnl.org/auteurs/auteur.php?id=nico018	nico018	Wilhelmus	Nicolaï	Somerus/Wilhelmus Nicolaï		Amsterdam			Amsterdam	Nederland	male	herv./leraar/geref. predikant	Periode 1550-1700		nonfictie		leraar/gereformeerd predikant	2.0/2.0	2.0
Jan van Gelder	https://www.dbnl.org/auteurs/auteur.php?id=geld021	geld021	Jan	van Gelder	Jan van Gelder	1903-xx-xx			1980-xx-xx			male	kunsthistoricus/kunsthandelaar	Twintigste Eeuw	nl			kunsthandelaar	4.0	4.0
Chris de Graaff	https://www.dbnl.org/auteurs/auteur.php?id=graa015	graa015	Christiaan Jacobus Julius	de Graaff	Chris de Graaff	1890-09-13	Hertogenbosch	Nederland	1955-02-04	Amsterdam	Nederland	male	redacteur/journalist	Twintigste Eeuw	nl			redacteur/journalist	2.0/2.0	2.0
Oscar Leyendekkers	https://www.dbnl.org/auteurs/auteur.php?id=leye001	leye001	Oscar	Leyendekkers	Oscar Leyendekkers	18xx-xx-xx						male		Twintigste Eeuw		nonfictie				
A.J.D. van Oosten	https://www.dbnl.org/auteurs/auteur.php?id=oost003	oost003	Abraham Jan Daniël	van Oosten	A.J.D. van Oosten	1898-11-12	Delft	Nederland	1969-01-23	Rotterdam	Nederland	male	schilder/redacteur/journalist	Twintigste Eeuw	nl	jeugdliteratuur		journalist/redacteur/schilder	2.0/2.0/9.0	2.0
L. Stolte	https://www.dbnl.org/auteurs/auteur.php?id=stol018	stol018	Lodewijk Alexander Maria (Lou)	Stolte	L. Stolte	18xx-xx-xx						male	apotheker/medicus	Twintigste Eeuw		nonfictie		medicus/apotheker	2.0/2.0	2.0
A.J.A. Etman	https://www.dbnl.org/auteurs/auteur.php?id=etma001	etma001	Arnoldus Josephus Antonius (Nol)	Etman	A.J.A. Etman/Man Arnet	1910-05-30	Den Haag	Nederland				male		Twintigste Eeuw	nl					
J.B. Stolte	https://www.dbnl.org/auteurs/auteur.php?id=stol019	stol019	Jacobus Bernardus	Stolte	J.B. Stolte	1908-xx-xx			1984-xx-xx			male		Twintigste Eeuw		nonfictie				
N.G.H. Deen	https://www.dbnl.org/auteurs/auteur.php?id=deen005	deen005	Nicolaas Gerardus Hendricus	Deen	N.G.H. Deen	1897-02-24	Den Haag	Nederland	1977-11-23	Rotterdam	Nederland	male		Twintigste Eeuw		taalkunde				
W.P.J. Pompe	https://www.dbnl.org/auteurs/auteur.php?id=pomp001	pomp001	Willem Petrus Joseph	Pompe	W.P.J. Pompe	1893-03-10	Utrecht	Nederland	1968-07-26	Utrecht	Nederland	male		Twintigste Eeuw		nonfictie				
Frans Erens	https://www.dbnl.org/auteurs/auteur.php?id=eren003	eren003	Maria Joseph Franciscus Peter Hubertus	Erens	Frans Erens/Gregorius/Trifouillard	1857-07-23	Schaesberg	Nederland	1935-12-05	Houthem-Sint Gerlach	Nederland	male	tekenaar/jurist/vertaler/illustrator/advocaat/magistraat/beeldend kunstenaar	19e/20e Eeuw	nl	limburg		advocaat/vertaler/jurist/ambtman/beeldhouwer/illustrateur/tekenaar	2.0/4.0/2.0/1.0/4.0/4.0/4.0	1.0
Charles Eyck	https://www.dbnl.org/auteurs/auteur.php?id=eyck006	eyck006	Charles	Eyck	Charles Eyck	1897-03-24	Meerssen	Nederland	1983-08-02	Schimmert	Nederland	male	schilder	Twintigste Eeuw				schilder	9.0	9.0
Ad. Sassen	https://www.dbnl.org/auteurs/auteur.php?id=sass002	sass002	Adrienne Joseph Marie (Ad)	Sassen	Ad. Sassen	1906-xx-xx			1942-xx-xx			male		Twintigste Eeuw	nl	secundair				
Lodewijk van Deyssel	https://www.dbnl.org/auteurs/auteur.php?id=deys001	deys001	Lodewijk	van Deyssel	A.J. Bussum/J.H. Meere/K.J.L. Alberdingk Thijm/Lodewijk van Deyssel/van Breull	1864-09-22	Amsterdam	Nederland	1952-01-26	Haarlem	Nederland	male		19e/20e Eeuw	nl	secundair				
Jan Thorn-Prikker	https://www.dbnl.org/auteurs/auteur.php?id=thor005	thor005	Johan	Thorn-Prikker	Jan Thorn-Prikker	1868-06-05	Den Haag	Nederland	1932-03-05	Keulen	Duitsland	male	schilder	19e/20e Eeuw		nonfictie		schilder	9.0	9.0
Alfons Olterdissen	https://www.dbnl.org/auteurs/auteur.php?id=olte001	olte001	Alfons	Olterdissen	Alfons Olterdissen	1865-xx-xx	Maastricht?	Nederland	1923-xx-xx			male		19e/20e Eeuw		limburg				
G.D. Franquinet	https://www.dbnl.org/auteurs/auteur.php?id=fran023	fran023	Guillaume Désiré Lambert (Wilhelmus Désiré)	Franquinet	G.D. Franquinet	1826-05-01	Maastricht	Nederland	1900-01-29	Maastricht	Nederland	male	advocaat/archeoloog/jurist/historicus	Negentiende Eeuw	nl	limburg		advocaat/antropoloog/oudheidkundige/jurist	2.0/2.0/2.0/2.0	2.0
E. Jaspar	https://www.dbnl.org/auteurs/auteur.php?id=jasp002	jasp002	Edmond Jacques Hubert	Jaspar	E. Jaspar	1872-10-17	Maastricht	Nederland	1946-08-07			male	advocaat/jurist	19e/20e Eeuw	nl	taalkunde/limburg		advocaat/jurist	2.0/2.0	2.0
Laurent Polis	https://www.dbnl.org/auteurs/auteur.php?id=poli001	poli001	Joseph Laurent Hubert	Polis	Laurent Polis	1845-10-11	Maastricht	Nederland	1915-08-01	Maastricht	Nederland	male		19e/20e Eeuw	nl	limburg				
G.H. Weustink	https://www.dbnl.org/auteurs/auteur.php?id=weus003	weus003	G.H.	Weustink	G.H. Weustink	18xx-xx-xx						male		Twintigste Eeuw		secundair				
P. Hendrix	https://www.dbnl.org/auteurs/auteur.php?id=hend038	hend038	Petrus Johannes Gerardus Antonius	Hendrix	P. Hendrix	1896-01-25	Halsteren	Nederland	1979-03-18	Dordrecht	Nederland	male	leraar/classicus/docent/hoogleraar	Twintigste Eeuw		secundair		hoogleraar/oudheidkundige/leraar/docent	2.0/2.0/2.0/2.0	2.0
M. Revis	https://www.dbnl.org/auteurs/auteur.php?id=revi002	revi002	Willem	Revis	M. Revis/W. Visser	1904-08-06	Zeist	Nederland	1973-03-16	Amsterdam	Nederland	male		Twintigste Eeuw	nl					
A. van Domburg	https://www.dbnl.org/auteurs/auteur.php?id=domb002	domb002	Adrianus Johannes Petrus	van Domburg	A. van Domburg/Close up	1895-01-09	Oud Gastel	Nederland	1983-06-21	Eindhoven	Nederland	male	journalist/leraar/redacteur/hoogleraar/docent	Twintigste Eeuw	nl	secundair		redacteur/hoogleraar/leraar/docent/journalist	2.0/2.0/2.0/2.0/2.0	2.0
Jan H. de Groot	https://www.dbnl.org/auteurs/auteur.php?id=groo015	groo015	Jan Hendrik	de Groot	Jan H. de Groot/Mutsaert/Sikkema	1901-03-13	Alkmaar	Nederland	1990-12-01	Zeist	Nederland	male	redacteur/journalist	Twintigste Eeuw	nl			redacteur/journalist	2.0/2.0	2.0
Frans van Oldenburg Ermke	https://www.dbnl.org/auteurs/auteur.php?id=olde002	olde002	Frans	van Oldenburg Ermke	Clazina de Bruyn/Fabianus van de Kluizenaarsbronnen/Fra Antonio Bruno/Franciscus Antonius Brunklaus/Frans Willems/Frans van Oldenburg Ermke/Frans van de Merwede/Halve Tessel d' E./L. Oosterhout/Tessel Erna	1909-02-06	Dordrecht	Nederland	1974-10-13	Meerssen	Nederland	male	redacteur/journalist/vertaler	Twintigste Eeuw	nl	limburg		redacteur/vertaler/journalist	2.0/4.0/2.0	2.0
Giovanni Papini	https://www.dbnl.org/auteurs/auteur.php?id=papi001	papi001	Giovanni	Papini	Giovanni Papini	1881-xx-xx			1956-xx-xx			male		19e/20e Eeuw	it	secundair				
Ellen Russe	https://www.dbnl.org/auteurs/auteur.php?id=russ001	russ001	Ellen	Russe	Ellen Russe/Lilian Geraldine van der Velden-Vygh	1889-05-04	Zoeterwoude	Nederland	1942-09-09			female	vertaler/toneelspeler	Twintigste Eeuw	nl	jeugdliteratuur		toneelspeler/vertaler	4.0/4.0	4.0
Sigmund Freud	https://www.dbnl.org/auteurs/auteur.php?id=freu001	freu001	Sigmund Schlomo	Freud	Sigmund Freud	1856-05-06	Freiberg	Tsjechië	1939-09-23	Londen	Groot-Brittannië (en Noord-Ierland)	male	ps.ther./psychol/zielsverzorger	19e/20e Eeuw		nonfictie/buitenland		psycholoog/zielmaker	2.0/7.0	2.0
Martin Bruijns	https://www.dbnl.org/auteurs/auteur.php?id=bruy019	bruy019	Martinus Wilhelmus Bernardus Marie	Bruijns	Martin Bruijns/Martin Bruyns	1903-xx-xx	Wisch	Nederland	1969-xx-xx	Arnhem	Nederland	male		Twintigste Eeuw	nl					
Eric van der Steen	https://www.dbnl.org/auteurs/auteur.php?id=stee008	stee008	Eric	van der Steen	Dirk Zijlstra/Eric van der Steen	1907-09-14	Alkmaar	Nederland	1985-11-03	Amsterdam	Nederland	male	redacteur/journalist	Twintigste Eeuw	nl			redacteur/journalist	2.0/2.0	2.0
Leo van Breen	https://www.dbnl.org/auteurs/auteur.php?id=bree009	bree009	Leo	van Breen	Leo van Breen	1906-xx-xx	Goes	Nederland	1988-xx-xx			male		Twintigste Eeuw	nl					
Herman Oosterwijk	https://www.dbnl.org/auteurs/auteur.php?id=oost025	oost025	Herman	Oosterwijk	Herman Oosterwijk	1902-xx-xx			1960-xx-xx			male		Twintigste Eeuw		nonfictie				
Martinus Nijhoff	https://www.dbnl.org/auteurs/auteur.php?id=nijh004	nijh004	Martinus	Nijhoff	Martinus Nijhoff/Tonia de Bilt	1894-04-20	Den Haag	Nederland	1953-01-26	Den Haag	Nederland	male	vertaler	Twintigste Eeuw	nl	secundair/jeugdliteratuur		vertaler	4.0	4.0
Louis de Bourbon	https://www.dbnl.org/auteurs/auteur.php?id=bour001	bour001	Louis Jean Henri Charles Adelberth	de Bourbon	Louis de Bourbon	1908-12-27	Renkum	Nederland	1975-01-08	Arnhem	Nederland	male	journalist/redacteur/staatsman/bestuurder/politicus	Twintigste Eeuw	nl			bestuurder/ambtman/journalist/redacteur	1.0/1.0/2.0/2.0	1.0
Berend Kuitert Cz	https://www.dbnl.org/auteurs/auteur.php?id=kuit004	kuit004	Berend	Kuitert Cz	Berend Kuitert Cz	1817-10-31	Groningen	Nederland	1891-xx-xx			male	tekenaar/journalist/redacteur/illustrator/beeldend kunstenaar	Negentiende Eeuw	nl			redacteur/beeldhouwer/illustrateur/tekenaar/journalist	2.0/4.0/4.0/4.0/2.0	2.0
A.C. Ramselaar	https://www.dbnl.org/auteurs/auteur.php?id=rams002	rams002	Antonius Cornelis (Toon)	Ramselaar	A.C. Ramselaar	1899-xx-xx			1981-xx-xx			male	rk-geestelijke/kloosterling	Twintigste Eeuw		nonfictie		rooms-katholiek geestelijke/kloosterling	2.0/4.0	2.0
Koos van Doorne	https://www.dbnl.org/auteurs/auteur.php?id=door016	door016	Jacobus	van Doorne	Koos van Doorne	1908-xx-xx			1984-xx-xx			male		Twintigste Eeuw						
Alphons Diepenbrock	https://www.dbnl.org/auteurs/auteur.php?id=diep001	diep001	Alphons	Diepenbrock	Alphons Diepenbrock/Philotethes	1862-09-02	Amsterdam	Nederland	1921-04-05	Amsterdam	Nederland	male	jongleur/musicus/minstreel	19e/20e Eeuw	nl	nonfictie		speelman/acrobaat/musicus	4.0/7.0/4.0	4.0
August van Cauwelaert	https://www.dbnl.org/auteurs/auteur.php?id=cauw004	cauw004	August	van Cauwelaert	August van Cauwelaert	1885-12-31	Onze-Lieve-Vrouwe-Lombeek	België (Vlaanderen)	1945-07-04	Antwerpen	België (Vlaanderen)	male		Twintigste Eeuw	nl	secundair				
Aug. Cuypers	https://www.dbnl.org/auteurs/auteur.php?id=cuyp007	cuyp007	August Alphonsus Maria	Cuypers	Aug. Cuypers	1899-09-26	Amsterdam	Nederland	1996-01-16	Leiderdorp	Nederland	male	leraar/boekdrukker/hoogleraar/uitgever/docent	Twintigste Eeuw		taalkunde		hoogleraar/boekdrukker/leraar/docent/uitgever	2.0/7.0/2.0/2.0/1.0	1.0
Jan Derks	https://www.dbnl.org/auteurs/auteur.php?id=derk001	derk001	Jan	Derks	Jan Derks	1912-xx-xx			1963-xx-xx			male		Twintigste Eeuw		nonfictie				
Stijn Streuvels	https://www.dbnl.org/auteurs/auteur.php?id=stre009	stre009	Stijn	Streuvels	Frank Lateur/Stijn Streuvels	1871-10-03	Heule	België (Vlaanderen)	1969-08-15	Ingooigem	België (Vlaanderen)	male		19e/20e Eeuw	nl	secundair/jeugdliteratuur				
Paul Vlemminx	https://www.dbnl.org/auteurs/auteur.php?id=vlem001	vlem001	Paul	Vlemminx	Ferdinand Wijnand Smulders/Paul Vlemminx	1907-xx-xx	Schijndel	Nederland	1972-xx-xx	Hertogenbosch	Nederland	male	archeoloog/historicus	Twintigste Eeuw	nl			antropoloog/oudheidkundige	2.0/2.0	2.0
Franciscus De Smidt	https://www.dbnl.org/auteurs/auteur.php?id=smid009	smid009	Franciscus	De Smidt	Franciscus De Smidt	1567-xx-xx	Antwerpen	België (Vlaanderen)	1659-xx-xx	Lier	België (Vlaanderen)	male	rk-geestelijke/kloosterling	Periode 1550-1700		secundair		rooms-katholiek geestelijke/kloosterling	2.0/4.0	2.0
G.J. Peelen	https://www.dbnl.org/auteurs/auteur.php?id=peel002	peel002	Gerrit Jacob	Peelen	G.J. Peelen	1905-xx-xx			1966-xx-xx			male		Twintigste Eeuw		jeugdliteratuur				
Heleen Hoekstra	https://www.dbnl.org/auteurs/auteur.php?id=hoek036	hoek036	Heleen	Hoekstra	Heleen Hoekstra	19xx-xx-xx						female		20e/21e Eeuw		taalkunde				
A.P.Th. Sassen	https://www.dbnl.org/auteurs/auteur.php?id=sass009	sass009	Armand Prosper Theodore	Sassen	A.P.Th. Sassen	1844-09-09	Roermond	Nederland	1909-01-20	Amsterdam	Nederland	male	advocaat/jurist	Negentiende Eeuw	nl			advocaat/jurist	2.0/2.0	2.0
Jos. van Schaveren	https://www.dbnl.org/auteurs/auteur.php?id=scha079	scha079	Jos.	van Schaveren	Jos. van Schaveren	1911-xx-xx			2001-xx-xx			male		Twintigste Eeuw						
Jop Pollmann	https://www.dbnl.org/auteurs/auteur.php?id=poll006	poll006	Josephus Casparus Maria	Pollmann	Jop Pollmann	1902-xx-xx			1973-xx-xx			male		Twintigste Eeuw		secundair/jeugdliteratuur				
E.Th.J. Brom	https://www.dbnl.org/auteurs/auteur.php?id=brom001	brom001	Eduard Theodorus Joannes	Brom	E.Th.J. Brom	1862-07-20	Amsterdam	Nederland	1935-04-24	Amsterdam	Nederland	male		19e/20e Eeuw	nl					
G. Vrijmoed	https://www.dbnl.org/auteurs/auteur.php?id=vrij009	vrij009	Germanus	Vrijmoed	G. Vrijmoed	1881-11-05	Rotterdam	Nederland	1963-12-14	Delft	Nederland	male		Twintigste Eeuw						
Willem Brandt	https://www.dbnl.org/auteurs/auteur.php?id=bran027	bran027	Willem	Brandt	W.S.B. Klooster/Willem Brandt	1905-09-06	Groningen	Nederland	1981-04-29	Bussum	Nederland	male		Twintigste Eeuw	nl					
E.H.M. Beekman	https://www.dbnl.org/auteurs/auteur.php?id=beek023	beek023	Egbert Herman Michael	Beekman	E.H.M. Beekman	ca. 1883-xx-xx	Den Haag	Nederland	1950-12-08	Den Haag	Nederland	male		Twintigste Eeuw						
H. van Rooijen	https://www.dbnl.org/auteurs/auteur.php?id=rooi010	rooi010	Henricus Leo Maria (Henri)	van Rooijen	H. van Rooijen	1902-12-22	Utrecht	Nederland	1987-11-09	Amersfoort	Nederland	male	archeoloog/historicus	Twintigste Eeuw		nonfictie		antropoloog/oudheidkundige	2.0/2.0	2.0
C.R. de Klerk	https://www.dbnl.org/auteurs/auteur.php?id=kler001	kler001	Cornelis	de Klerk	C.R. de Klerk	1873-xx-xx	Woubrugge	Nederland	1953-xx-xx			male		19e/20e Eeuw	nl	secundair				
H.M. van Randwijk	https://www.dbnl.org/auteurs/auteur.php?id=rand002	rand002	Hendrik Mattheus	van Randwijk	H.M. van Randwijk	1909-11-09	Gorinchem	Nederland	1966-05-13	Purmerend	Nederland	male	redacteur/journalist	Twintigste Eeuw	nl			redacteur/journalist	2.0/2.0	2.0
Carole Vos	https://www.dbnl.org/auteurs/auteur.php?id=vos_006	vos_006	Carole	Vos	Carole Vos/Gertrude Theresia Jozefa Maria Sparla	1933-xx-xx						female		20e/21e Eeuw						
Antoon Coolen	https://www.dbnl.org/auteurs/auteur.php?id=cool004	cool004	Antonius Franciscus	Coolen	Antoon Coolen/De Willer	1897-04-17	Wijlre	Nederland	1961-11-09	Eindhoven	Nederland	male	redacteur/journalist	Twintigste Eeuw	nl	jeugdliteratuur/limburg		redacteur/journalist	2.0/2.0	2.0
J.H. Newman	https://www.dbnl.org/auteurs/auteur.php?id=newm001	newm001	John Henry	Newman	J.H. Newman	1801-02-21	Londen	Groot-Brittannië (en Noord-Ierland)	1890-08-11	Birmingham	Groot-Brittannië (en Noord-Ierland)	male	theoloog	Negentiende Eeuw	en	nonfictie		theoloog	2.0	2.0
Hendrik de Vries	https://www.dbnl.org/auteurs/auteur.php?id=vrie024	vrie024	Hendrik	de Vries	Hendrik de Vries	1896-08-17	Groningen	Nederland	1989-11-18	Haren	Nederland	male	illustrator/tekenaar/beeldend kunstenaar	Twintigste Eeuw	nl			tekenaar/illustrateur/beeldhouwer	4.0/4.0/4.0	4.0
Gaston Burssens	https://www.dbnl.org/auteurs/auteur.php?id=burs002	burs002	Gaston Charles Mathilda	Burssens	Gaston Burssens	1896-02-18	Dendermonde	België (Vlaanderen)	1965-01-29	Antwerpen	België (Vlaanderen)	male	schilder/redacteur/journalist	Twintigste Eeuw	nl	secundair		journalist/redacteur/schilder	2.0/2.0/9.0	2.0
Paul Claudel	https://www.dbnl.org/auteurs/auteur.php?id=clau002	clau002	Paul	Claudel	Paul Claudel	1868-08-06	Villeneuve-sur-Fère	Frankrijk	1955-02-23	Parijs	Frankrijk	male		19e/20e Eeuw	fr	buitenland				
Michiel de Swaen	https://www.dbnl.org/auteurs/auteur.php?id=swae001	swae001	Michael	de Swaen	Michiel de Swaen	1654-01-20	Duinkerken	Frankrijk	1707-05-03	Duinkerken	Frankrijk	male	apotheker/medicus	Periode 1550-1700	nl		Sint-Michiel\r	medicus/apotheker	2.0/2.0	2.0
Wouter Paap	https://www.dbnl.org/auteurs/auteur.php?id=paap003	paap003	Wouter	Paap	Wouter Paap	1908-05-07	Utrecht	Nederland	1981-10-07	Lage Vuursche	Nederland	male	jongleur/musicus/minstreel	Twintigste Eeuw	nl	secundair		speelman/acrobaat/musicus	4.0/7.0/4.0	4.0
David de Kok	https://www.dbnl.org/auteurs/auteur.php?id=kok_021	kok_021	David	de Kok	Antoon Abels/Daan van Deurne/David de Kok	1884-xx-xx	Rotterdam	Nederland	1957-01-26	Boekel	Nederland	male	rk-geestelijke/jurist/advocaat/kloosterling	Twintigste Eeuw				advocaat/rooms-katholiek geestelijke/kloosterling/jurist	2.0/2.0/4.0/2.0	2.0
J.A.A. Mekel	https://www.dbnl.org/auteurs/auteur.php?id=meke002	meke002	J.A.A.	Mekel	J.A.A. Mekel	1891-12-22	Bedum	Nederland	1942-05-03	Sachsenhausen	Duitsland	male		Twintigste Eeuw						
Felix Rutten	https://www.dbnl.org/auteurs/auteur.php?id=rutt004	rutt004	Felix Jean Joseph Hubert	Rutten	Felix Rutten/W. D'Hoop	1882-07-13	Sittard	Nederland	1971-12-22	Rome	Italië	male		Twintigste Eeuw	nl	nonfictie/limburg				
Freek van Leeuwen	https://www.dbnl.org/auteurs/auteur.php?id=leeu017	leeu017	Freek	van Leeuwen	Freek van Leeuwen	1905-02-27	Leiden	Nederland	1968-06-09	Leiderdorp	Nederland	male	schilder	Twintigste Eeuw	nl			schilder	9.0	9.0
Herluf van Merlet	https://www.dbnl.org/auteurs/auteur.php?id=merl001	merl001	Herluf	van Merlet	Herluf Christiaan Josef Aloysius baron van Lamsweerde/Herluf van Merlet	1900-05-17	Arnhem	Nederland	1965-01-27	Bussum	Nederland	male	advocaat/jurist/redacteur/journalist	Twintigste Eeuw	nl			advocaat/journalist/redacteur/jurist	2.0/2.0/2.0/2.0	2.0
L.S.J. Hanekroot	https://www.dbnl.org/auteurs/auteur.php?id=hane004	hane004	Leo	Hanekroot	L.S.J. Hanekroot	1908-xx-xx			1974-xx-xx			male	redacteur/journalist	Twintigste Eeuw		secundair		redacteur/journalist	2.0/2.0	2.0
Kees Klap	https://www.dbnl.org/auteurs/auteur.php?id=klap001	klap001	Kees	Klap	Kees Klap	19xx-xx-xx						male		Twintigste Eeuw						
C.C. Berg	https://www.dbnl.org/auteurs/auteur.php?id=berg309	berg309	Cornelis Christiaan	Berg	C.C. Berg	1900-12-18	Rotterdam	Nederland	1990-06-25	Leiden	Nederland	male	letterkundige (NIET-neerl.)/archeoloog/historicus	Twintigste Eeuw		nonfictie/buitenland		letterkundige/antropoloog/oudheidkundige	2.0/2.0/2.0	2.0
Jan Vercammen	https://www.dbnl.org/auteurs/auteur.php?id=verc002	verc002	Jan	Vercammen	Jan Vercammen/Werner van Waes	1906-11-07	Temse	België (Vlaanderen)	1984-08-05	Brugge	België (Vlaanderen)	male	onderwijzer (basisschool)/redacteur/journalist	Twintigste Eeuw	nl	jeugdliteratuur		onderwijzer op een lagere school/redacteur/journalist	4.0/2.0/2.0	2.0
Jan Gin	https://www.dbnl.org/auteurs/auteur.php?id=gin_001	gin_001	Jan	Gin	Jan Gin/W.G. Witkam	1910-11-01	Goes	Nederland	2003-08-08	Enschede	Nederland	male		Twintigste Eeuw						
